iter	Passed	Remaining
155	1044	5650
156	1051	5643
157	1058	5641
158	1063	5627
159	1069	5614
160	1074	5601
161	1080	5587
162	1085	5573
163	1090	5561
164	1096	5548
165	1101	5535
166	1107	5521
167	1112	5507
168	1117	5495
169	1123	5483
170	1128	5470
171	1133	5458
172	1139	5445
173	1144	5433
174	1149	5420
175	1155	5408
176	1160	5396
177	1166	5385
178	1172	5375
179	1177	5363
180	1182	5351
181	1187	5338
182	1193	5326
183	1201	5327
184	1207	5320
185	1214	5315
186	1220	5304
187	1225	5292
188	1231	5285
189	1237	5274
190	1242	5262
191	1249	5259
192	1257	5257
193	1262	5247
194	1268	5236
195	1274	5226
196	1279	5216
197	1285	5205
198	1291	5198
199	1296	5187
200	1301	5175
201	1307	5166
202	1312	5154
203	1318	5144
204	1323	5133
205	1329	5123
206	1334	5113
207	1339	5101
208	1347	5101
209	1354	5095
210	1360	5085
211	1365	5075
212	1370	5065
213	1376	5056
214	1381	5045
215	1387	5035
216	1393	5027
217	1398	5016
218	1404	5008
219	1409	4997
220	1415	4988
221	1420	4978
222	1426	4968
223	1431	4959
224	1436	4948
225	1444	4945
226	1450	4940
227	1456	4931
228	1462	4922
229	1467	4911
230	1472	4903
231	1478	4892
232	1483	4884
233	1489	4876
234	1494	4866
235	1500	4857
236	1505	4847
237	1511	4838
238	1516	4829
239	1522	4820
240	1527	4811
241	1533	4802
242	1538	4793
243	1544	4784
244	1550	4776
245	1555	4767
246	1560	4758
247	1566	4748
248	1571	4739
249	1576	4730
250	1582	4721
251	1587	4713
252	1593	4703
253	1598	4695
254	1603	4685
255	1609	4678
256	1615	4670
257	1620	4661
258	1626	4652
259	1631	4644
260	1637	4635
261	1642	4626
262	1647	4617
263	1653	4608
264	1659	4602
265	1665	4596
266	1671	4587
267	1676	4580
268	1682	4573
269	1688	4565
270	1693	4556
271	1699	4548
272	1705	4541
273	1711	4533
274	1717	4528
275	1723	4519
276	1729	4513
277	1737	4511
278	1744	4508
279	1750	4501
280	1759	4501
281	1765	4494
282	1770	4486
283	1777	4480
284	1782	4471
285	1788	4463
286	1793	4456
287	1799	4448
288	1805	4441
289	1811	4434
290	1816	4426
291	1822	4418
292	1828	4412
293	1837	4411
294	1843	4406
295	1849	4398
296	1854	4390
297	1861	4385
298	1867	4377
299	1872	4369
300	1878	4361
301	1883	4353
302	1889	4345
303	1894	4338
304	1900	4330
305	1905	4321
306	1910	4313
307	1916	4306
308	1922	4298
309	1927	4291
310	1935	4289
311	1941	4281
312	1946	4273
313	1952	4265
314	1957	4257
315	1963	4249
316	1968	4241
317	1974	4234
318	1979	4225
319	1985	4218
320	1990	4210
321	1996	4203
322	2001	4195
323	2006	4186
324	2012	4179
325	2017	4170
326	2022	4163
327	2028	4155
328	2033	4148
329	2039	4140
330	2044	4132
331	2050	4124
332	2055	4117
333	2060	4109
334	2065	4101
335	2071	4094
336	2076	4086
337	2082	4079
338	2088	4071
339	2093	4064
340	2099	4056
341	2104	4049
342	2109	4041
343	2114	4033
344	2120	4026
345	2125	4018
346	2131	4011
347	2136	4003
348	2141	3995
349	2147	3987
350	2152	3980
351	2157	3972
352	2163	3965
353	2169	3958
354	2174	3950
355	2179	3943
356	2185	3935
357	2191	3929
358	2196	3921
359	2201	3913
360	2207	3906
361	2212	3899
362	2218	3892
363	2223	3884
364	2229	3878
365	2234	3871
366	2240	3864
367	2246	3857
368	2251	3850
369	2257	3843
370	2264	3838
371	2270	3833
372	2276	3826
373	2282	3819
374	2287	3813
375	2293	3806
376	2299	3799
377	2304	3792
378	2310	3786
379	2316	3780
380	2325	3778
381	2332	3773
382	2338	3767
383	2344	3761
384	2350	3753
385	2356	3747
386	2362	3742
387	2367	3734
388	2372	3726
389	2378	3720
390	2384	3713
391	2389	3706
392	2395	3699
393	2401	3693
394	2406	3686
395	2412	3679
396	2419	3675
397	2426	3670
398	2432	3663
399	2437	3656
400	2443	3649
401	2448	3642
402	2454	3635
403	2459	3628
404	2465	3621
405	2470	3614
406	2476	3608
407	2482	3601
408	2488	3595
409	2494	3589
410	2499	3582
411	2506	3576
412	2511	3570
413	2520	3567
414	2526	3561
415	2532	3555
